oecd_id;gadm_id
CL01;CHL.15_1
CL02;CHL.2_1
CL03;CHL.5_1
CL04;CHL.7_1
CL05;CHL.16_1
CL06;CHL.8_1
CL07;CHL.12_1
CL08;CHL.6_1
CL08;CHL.13_1
CL09;CHL.3_1
CL10;CHL.9_1
CL11;CHL.1_1
CL12;CHL.11_1
CL13;CHL.14_1
CL14;CHL.10_1
CL15;CHL.4_1
ME01;MEX.1_1
ME02;MEX.3_1
ME03;MEX.2_1
ME04;MEX.4_1
ME05;MEX.7_1
ME06;MEX.8_1
ME07;MEX.5_1
ME08;MEX.6_1
ME09;MEX.9_1
ME10;MEX.10_1
ME11;MEX.11_1
ME12;MEX.12_1
ME13;MEX.13_1
ME14;MEX.14_1
ME15;MEX.15_1
ME16;MEX.16_1
ME17;MEX.17_1
ME18;MEX.18_1
ME19;MEX.19_1
ME20;MEX.20_1
ME21;MEX.21_1
ME22;MEX.22_1
ME23;MEX.23_1
ME24;MEX.24_1
ME25;MEX.25_1
ME26;MEX.26_1
ME27;MEX.27_1
ME28;MEX.28_1
ME29;MEX.29_1
ME30;MEX.30_1
ME31;MEX.31_1
ME32;MEX.32_1
PE01;PER.1_1
PE02;PER.2_1
PE03;PER.3_1
PE04;PER.4_1
PE05;PER.5_1
PE06;PER.6_1
PE07;PER.7_1
PE08;PER.8_1
PE09;PER.9_1
PE10;PER.10_1
PE11;PER.11_1
PE12;PER.12_1
PE13;PER.13_1
PE14;PER.14_1
PE15;PER.15_1
PE15;PER.16_1
PE16;PER.17_1
PE17;PER.18_1
PE18;PER.19_1
PE19;PER.20_1
PE20;PER.21_1
PE21;PER.22_1
PE22;PER.23_1
PE23;PER.24_1
PE24;PER.25_1
PE25;PER.26_1